"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-192-0-1-1",,,,"User:","username"
"Cmdline:","dstat -am -C 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35 --output /home/dbadmin/dstat_results_52.206.193.109_1.csv",,,,"Date:","18 Dec 2017 23:18:05 EST"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"cpu16 usage",,,,,,"cpu17 usage",,,,,,"cpu18 usage",,,,,,"cpu19 usage",,,,,,"cpu20 usage",,,,,,"cpu21 usage",,,,,,"cpu22 usage",,,,,,"cpu23 usage",,,,,,"cpu24 usage",,,,,,"cpu25 usage",,,,,,"cpu26 usage",,,,,,"cpu27 usage",,,,,,"cpu28 usage",,,,,,"cpu29 usage",,,,,,"cpu30 usage",,,,,,"cpu31 usage",,,,,,"cpu32 usage",,,,,,"cpu33 usage",,,,,,"cpu34 usage",,,,,,"cpu35 usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
2.172,0.279,97.467,0.081,0.0,0.001,2.560,0.505,96.726,0.209,0.0,0.000,3.827,0.265,95.840,0.069,0.0,0.000,1.764,0.284,97.889,0.064,0.0,0.0,3.132,0.233,96.578,0.057,0.0,0.0,1.972,0.272,97.701,0.056,0.0,0.0,1.756,0.242,97.940,0.062,0.0,0.0,1.200,0.227,98.515,0.057,0.0,0.0,1.207,0.246,98.487,0.060,0.0,0.0,2.650,0.282,96.783,0.285,0.0,0.0,4.495,0.233,95.202,0.070,0.0,0.000,1.539,0.238,98.160,0.062,0.0,0.0,1.444,0.229,98.264,0.062,0.0,0.0,1.246,0.224,98.467,0.063,0.0,0.0,1.409,0.210,98.319,0.063,0.0,0.0,1.102,0.198,98.633,0.067,0.0,0.0,1.150,0.198,98.597,0.056,0.0,0.0,1.126,0.203,98.614,0.057,0.0,0.0,0.931,0.207,98.808,0.054,0.0,0.0,1.034,0.254,98.656,0.056,0.0,0.000,1.008,0.207,98.734,0.051,0.0,0.0,0.890,0.191,98.859,0.061,0.0,0.0,0.905,0.198,98.838,0.060,0.0,0.0,3.429,0.219,96.269,0.083,0.0,0.0,1.849,0.300,97.644,0.207,0.0,0.0,3.621,0.340,95.797,0.242,0.0,0.0,1.722,0.279,97.830,0.168,0.0,0.0,0.964,0.177,98.800,0.058,0.0,0.0,2.750,0.206,96.985,0.060,0.0,0.0,1.009,0.178,98.759,0.054,0.0,0.0,0.956,0.180,98.808,0.056,0.0,0.0,0.938,0.171,98.831,0.060,0.0,0.0,0.954,0.172,98.809,0.065,0.0,0.0,2.589,0.262,96.970,0.179,0.0,0.0,1.790,0.269,97.779,0.163,0.0,0.0,2.164,0.276,97.380,0.180,0.0,0.0,15315372.786,5997650.663,0.0,0.0,0.0,0.0,1684.608,47249.800,3155718144.0,2056192.0,147427328.0,59571331072.0
30.0,18.0,48.0,4.0,0.0,0.0,10.638,34.043,30.851,24.468,0.0,0.0,32.0,28.0,35.0,5.0,0.0,0.0,31.633,27.551,34.694,6.122,0.0,0.0,32.0,28.0,35.0,5.0,0.0,0.0,31.0,28.0,36.0,5.0,0.0,0.0,8.791,31.868,43.956,15.385,0.0,0.0,26.042,29.167,38.542,6.250,0.0,0.0,11.702,30.851,45.745,11.702,0.0,0.0,29.0,29.0,21.0,21.0,0.0,0.0,24.242,27.273,43.434,5.051,0.0,0.0,30.303,28.283,36.364,5.051,0.0,0.0,29.293,28.283,37.374,5.051,0.0,0.0,30.612,26.531,38.776,4.082,0.0,0.0,31.313,27.273,37.374,4.040,0.0,0.0,28.571,28.571,37.755,5.102,0.0,0.0,27.0,29.0,39.0,5.0,0.0,0.0,19.388,27.551,46.939,6.122,0.0,0.0,28.283,24.242,43.434,4.040,0.0,0.0,29.592,26.531,38.776,5.102,0.0,0.0,30.303,17.172,49.495,3.030,0.0,0.0,28.866,18.557,49.485,3.093,0.0,0.0,30.612,26.531,38.776,4.082,0.0,0.0,29.897,27.835,38.144,4.124,0.0,0.0,19.588,30.928,28.866,20.619,0.0,0.0,3.333,35.556,26.667,34.444,0.0,0.0,26.263,28.283,35.354,10.101,0.0,0.0,23.0,28.0,44.0,5.0,0.0,0.0,29.293,12.121,56.566,2.020,0.0,0.0,25.0,5.0,68.0,2.0,0.0,0.0,28.571,5.102,65.306,1.020,0.0,0.0,30.0,10.0,58.0,2.0,0.0,0.0,29.0,5.0,64.0,2.0,0.0,0.0,22.680,28.866,36.082,12.371,0.0,0.0,17.021,32.979,23.404,26.596,0.0,0.0,30.612,26.531,36.735,6.122,0.0,0.0,778223616.0,905216.0,0.0,0.0,0.0,0.0,27627.0,60755.0,3136688128.0,2842624.0,924278784.0,58812723200.0
40.206,2.062,44.330,13.402,0.0,0.0,24.719,5.618,47.191,22.472,0.0,0.0,44.898,1.020,48.980,5.102,0.0,0.0,36.634,1.980,59.406,1.980,0.0,0.0,41.414,3.030,54.545,1.010,0.0,0.0,43.299,2.062,54.639,0.0,0.0,0.0,43.878,1.020,54.082,1.020,0.0,0.0,39.796,3.061,54.082,3.061,0.0,0.0,43.878,1.020,54.082,1.020,0.0,0.0,17.778,8.889,26.667,46.667,0.0,0.0,44.444,2.020,51.515,2.020,0.0,0.0,42.268,1.031,55.670,1.031,0.0,0.0,42.857,1.020,55.102,1.020,0.0,0.0,42.424,1.010,47.475,9.091,0.0,0.0,41.837,2.041,55.102,1.020,0.0,0.0,43.434,1.010,54.545,1.010,0.0,0.0,37.755,1.020,60.204,1.020,0.0,0.0,29.348,2.174,61.957,6.522,0.0,0.0,38.776,1.020,58.163,2.041,0.0,0.0,36.842,1.053,61.053,1.053,0.0,0.0,39.394,2.020,57.576,1.010,0.0,0.0,38.776,2.041,54.082,5.102,0.0,0.0,37.0,1.0,61.0,1.0,0.0,0.0,44.444,2.020,52.525,1.010,0.0,0.0,15.385,3.297,50.549,30.769,0.0,0.0,18.280,2.151,64.516,15.054,0.0,0.0,27.368,6.316,26.316,40.0,0.0,0.0,28.0,1.0,70.0,1.0,0.0,0.0,43.564,1.980,53.465,0.990,0.0,0.0,41.837,1.020,56.122,1.020,0.0,0.0,33.333,1.010,65.657,0.0,0.0,0.0,32.990,0.0,65.979,1.031,0.0,0.0,26.531,1.020,72.449,0.0,0.0,0.0,31.959,2.062,56.701,9.278,0.0,0.0,35.789,5.263,25.263,33.684,0.0,0.0,30.526,3.158,45.263,21.053,0.0,0.0,1080446976.0,0.0,0.0,0.0,0.0,0.0,25893.0,73607.0,3119988736.0,3883008.0,2012397568.0,57740263424.0
54.639,3.093,40.206,2.062,0.0,0.0,48.958,7.292,20.833,22.917,0.0,0.0,53.061,2.041,37.755,7.143,0.0,0.0,52.083,1.042,45.833,1.042,0.0,0.0,38.710,4.301,53.763,3.226,0.0,0.0,49.495,2.020,32.323,16.162,0.0,0.0,45.745,2.128,52.128,0.0,0.0,0.0,49.485,3.093,44.330,3.093,0.0,0.0,46.875,1.042,43.750,8.333,0.0,0.0,37.500,3.125,44.792,14.583,0.0,0.0,58.333,2.083,39.583,0.0,0.0,0.0,61.0,2.0,34.0,3.0,0.0,0.0,59.794,2.062,32.990,5.155,0.0,0.0,53.535,2.020,32.323,12.121,0.0,0.0,60.606,2.020,36.364,1.010,0.0,0.0,56.566,2.020,39.394,2.020,0.0,0.0,58.163,1.020,35.714,5.102,0.0,0.0,56.122,2.041,39.796,2.041,0.0,0.0,38.776,2.041,57.143,2.041,0.0,0.0,51.546,3.093,44.330,1.031,0.0,0.0,48.980,2.041,47.959,1.020,0.0,0.0,47.475,1.010,49.495,2.020,0.0,0.0,47.959,2.041,46.939,3.061,0.0,0.0,33.0,1.0,63.0,3.0,0.0,0.0,30.851,5.319,38.298,25.532,0.0,0.0,13.095,9.524,33.333,44.048,0.0,0.0,31.183,6.452,33.333,29.032,0.0,0.0,44.792,1.042,52.083,2.083,0.0,0.0,48.454,1.031,50.515,0.0,0.0,0.0,61.224,2.041,30.612,6.122,0.0,0.0,47.475,2.020,44.444,6.061,0.0,0.0,48.980,2.041,45.918,3.061,0.0,0.0,51.515,1.010,34.343,13.131,0.0,0.0,32.258,8.602,21.505,37.634,0.0,0.0,43.158,6.316,28.421,22.105,0.0,0.0,37.895,4.211,30.526,27.368,0.0,0.0,1106464768.0,0.0,0.0,0.0,0.0,0.0,31239.0,76967.0,3112288256.0,5017600.0,3147956224.0,56611270656.0
60.606,4.040,33.333,2.020,0.0,0.0,43.750,6.250,18.750,31.250,0.0,0.0,49.0,2.0,44.0,5.0,0.0,0.0,52.525,3.030,40.404,4.040,0.0,0.0,62.887,2.062,34.021,1.031,0.0,0.0,54.737,1.053,38.947,5.263,0.0,0.0,56.701,2.062,36.082,5.155,0.0,0.0,51.579,2.105,42.105,4.211,0.0,0.0,47.959,2.041,37.755,12.245,0.0,0.0,44.086,6.452,24.731,24.731,0.0,0.0,53.125,2.083,42.708,2.083,0.0,0.0,59.794,1.031,36.082,3.093,0.0,0.0,53.535,3.030,40.404,3.030,0.0,0.0,56.122,2.041,37.755,4.082,0.0,0.0,60.825,1.031,36.082,2.062,0.0,0.0,62.887,2.062,35.052,0.0,0.0,0.0,48.980,3.061,44.898,3.061,0.0,0.0,58.763,2.062,37.113,2.062,0.0,0.0,55.102,2.041,36.735,6.122,0.0,0.0,16.327,2.041,77.551,4.082,0.0,0.0,61.856,2.062,34.021,2.062,0.0,0.0,51.546,2.062,44.330,2.062,0.0,0.0,56.122,2.041,40.816,1.020,0.0,0.0,52.041,2.041,40.816,5.102,0.0,0.0,36.842,5.263,28.421,29.474,0.0,0.0,19.565,9.783,35.870,34.783,0.0,0.0,24.468,2.128,54.255,19.149,0.0,0.0,48.485,1.010,50.505,0.0,0.0,0.0,55.102,1.020,40.816,3.061,0.0,0.0,56.122,2.041,40.816,1.020,0.0,0.0,43.299,1.031,54.639,1.031,0.0,0.0,58.763,2.062,39.175,0.0,0.0,0.0,43.434,1.010,54.545,1.010,0.0,0.0,36.458,4.167,31.250,28.125,0.0,0.0,17.778,10.0,16.667,55.556,0.0,0.0,32.609,5.435,43.478,18.478,0.0,0.0,1189507072.0,0.0,0.0,0.0,0.0,0.0,31640.0,61016.0,3108134912.0,6172672.0,4328628224.0,55433596928.0
52.577,2.062,39.175,6.186,0.0,0.0,45.833,4.167,27.083,22.917,0.0,0.0,37.113,2.062,49.485,11.340,0.0,0.0,53.608,2.062,40.206,4.124,0.0,0.0,53.608,1.031,44.330,1.031,0.0,0.0,48.980,2.041,37.755,11.224,0.0,0.0,50.505,2.020,37.374,10.101,0.0,0.0,54.639,2.062,42.268,1.031,0.0,0.0,45.263,2.105,47.368,5.263,0.0,0.0,36.458,5.208,23.958,34.375,0.0,0.0,41.837,4.082,40.816,13.265,0.0,0.0,51.020,3.061,45.918,0.0,0.0,0.0,44.444,3.030,46.465,6.061,0.0,0.0,53.061,3.061,39.796,4.082,0.0,0.0,49.485,2.062,43.299,5.155,0.0,0.0,40.625,3.125,38.542,17.708,0.0,0.0,49.485,1.031,46.392,3.093,0.0,0.0,54.082,2.041,43.878,0.0,0.0,0.0,46.939,2.041,51.020,0.0,0.0,0.0,40.206,1.031,58.763,0.0,0.0,0.0,37.113,1.031,61.856,0.0,0.0,0.0,29.293,1.010,69.697,0.0,0.0,0.0,45.361,1.031,52.577,1.031,0.0,0.0,47.959,2.041,43.878,6.122,0.0,0.0,29.670,9.890,25.275,35.165,0.0,0.0,32.990,3.093,46.392,17.526,0.0,0.0,21.875,9.375,28.125,40.625,0.0,0.0,44.444,2.020,49.495,4.040,0.0,0.0,35.354,1.010,62.626,1.010,0.0,0.0,32.990,1.031,64.948,1.031,0.0,0.0,40.206,3.093,53.608,3.093,0.0,0.0,53.061,1.020,45.918,0.0,0.0,0.0,57.143,2.041,40.816,0.0,0.0,0.0,32.632,5.263,41.053,21.053,0.0,0.0,44.211,3.158,16.842,35.789,0.0,0.0,19.149,9.574,31.915,39.362,0.0,0.0,1108901888.0,0.0,0.0,0.0,0.0,0.0,28338.0,45592.0,3109888000.0,7221248.0,5419474944.0,54339948544.0
61.856,2.062,36.082,0.0,0.0,0.0,25.843,12.360,12.360,49.438,0.0,0.0,50.0,3.061,40.816,6.122,0.0,0.0,61.856,1.031,37.113,0.0,0.0,0.0,46.392,2.062,44.330,7.216,0.0,0.0,39.583,3.125,45.833,11.458,0.0,0.0,43.299,2.062,43.299,11.340,0.0,0.0,47.368,2.105,48.421,2.105,0.0,0.0,51.020,2.041,39.796,7.143,0.0,0.0,34.783,5.435,34.783,25.0,0.0,0.0,53.535,1.010,44.444,1.010,0.0,0.0,51.020,3.061,41.837,4.082,0.0,0.0,53.061,1.020,42.857,3.061,0.0,0.0,51.042,2.083,43.750,3.125,0.0,0.0,46.465,2.020,46.465,5.051,0.0,0.0,48.485,3.030,47.475,1.010,0.0,0.0,49.495,2.020,43.434,5.051,0.0,0.0,55.670,1.031,31.959,11.340,0.0,0.0,48.485,2.020,43.434,6.061,0.0,0.0,42.708,3.125,48.958,5.208,0.0,0.0,40.816,2.041,56.122,1.020,0.0,0.0,46.939,1.020,45.918,6.122,0.0,0.0,48.980,2.041,36.735,12.245,0.0,0.0,61.856,1.031,37.113,0.0,0.0,0.0,45.263,4.211,27.368,23.158,0.0,0.0,29.787,9.574,34.043,26.596,0.0,0.0,36.458,4.167,41.667,17.708,0.0,0.0,61.856,2.062,36.082,0.0,0.0,0.0,53.0,2.0,42.0,3.0,0.0,0.0,31.0,2.0,66.0,1.0,0.0,0.0,39.394,1.010,52.525,7.071,0.0,0.0,34.694,1.020,59.184,5.102,0.0,0.0,33.673,1.020,60.204,5.102,0.0,0.0,30.526,5.263,49.474,14.737,0.0,0.0,38.298,7.447,36.170,18.085,0.0,0.0,48.421,3.158,31.579,16.842,0.0,0.0,1116389376.0,811008.0,60.0,42.0,0.0,0.0,30218.0,67275.0,3107573760.0,8355840.0,6530260992.0,53230342144.0
45.918,2.041,47.959,4.082,0.0,0.0,18.280,7.527,23.656,50.538,0.0,0.0,33.333,2.020,61.616,3.030,0.0,0.0,49.0,3.0,43.0,5.0,0.0,0.0,42.857,3.061,51.020,3.061,0.0,0.0,33.673,3.061,62.245,1.020,0.0,0.0,43.299,3.093,51.546,2.062,0.0,0.0,45.545,2.970,45.545,5.941,0.0,0.0,48.980,1.020,36.735,13.265,0.0,0.0,37.234,5.319,35.106,22.340,0.0,0.0,50.0,2.083,46.875,1.042,0.0,0.0,50.515,1.031,47.423,1.031,0.0,0.0,57.732,2.062,39.175,1.031,0.0,0.0,47.0,2.0,50.0,1.0,0.0,0.0,50.505,2.020,42.424,5.051,0.0,0.0,50.0,2.041,40.816,7.143,0.0,0.0,54.737,1.053,41.053,3.158,0.0,0.0,52.041,1.020,46.939,0.0,0.0,0.0,45.918,2.041,51.020,1.020,0.0,0.0,38.144,2.062,50.515,9.278,0.0,0.0,46.939,1.020,45.918,6.122,0.0,0.0,46.392,1.031,51.546,1.031,0.0,0.0,39.796,1.020,57.143,2.041,0.0,0.0,41.837,1.020,57.143,0.0,0.0,0.0,27.473,7.692,29.670,35.165,0.0,0.0,26.087,5.435,50.0,18.478,0.0,0.0,12.766,6.383,45.745,35.106,0.0,0.0,50.505,2.020,44.444,3.030,0.0,0.0,34.343,1.010,64.646,0.0,0.0,0.0,42.857,1.020,55.102,1.020,0.0,0.0,47.475,1.010,50.505,1.010,0.0,0.0,51.546,2.062,46.392,0.0,0.0,0.0,48.980,2.041,47.959,1.020,0.0,0.0,23.958,6.250,32.292,37.500,0.0,0.0,26.316,5.263,22.105,46.316,0.0,0.0,29.787,6.383,39.362,24.468,0.0,0.0,1067831296.0,0.0,0.0,0.0,0.0,0.0,28164.0,53668.0,3109130240.0,9404416.0,7606902784.0,52151095296.0
41.237,2.062,36.082,20.619,0.0,0.0,40.0,3.158,29.474,27.368,0.0,0.0,53.061,2.041,44.898,0.0,0.0,0.0,32.979,2.128,62.766,2.128,0.0,0.0,51.546,2.062,42.268,4.124,0.0,0.0,48.454,2.062,40.206,9.278,0.0,0.0,55.102,2.041,40.816,2.041,0.0,0.0,48.421,2.105,45.263,4.211,0.0,0.0,41.837,2.041,52.041,4.082,0.0,0.0,36.957,7.609,18.478,36.957,0.0,0.0,47.475,1.010,39.394,12.121,0.0,0.0,48.454,2.062,44.330,5.155,0.0,0.0,46.939,2.041,47.959,3.061,0.0,0.0,46.939,1.020,52.041,0.0,0.0,0.0,43.878,2.041,38.776,15.306,0.0,0.0,53.608,0.0,45.361,1.031,0.0,0.0,47.475,2.020,50.505,0.0,0.0,0.0,47.475,2.020,47.475,3.030,0.0,0.0,26.531,2.041,54.082,17.347,0.0,0.0,41.837,2.041,55.102,1.020,0.0,0.0,45.918,2.041,28.571,23.469,0.0,0.0,40.404,2.020,41.414,16.162,0.0,0.0,45.455,1.010,44.444,9.091,0.0,0.0,34.343,1.010,60.606,4.040,0.0,0.0,30.435,6.522,40.217,22.826,0.0,0.0,22.340,7.447,51.064,19.149,0.0,0.0,28.723,4.255,50.0,17.021,0.0,0.0,44.898,2.041,51.020,2.041,0.0,0.0,42.268,1.031,34.021,22.680,0.0,0.0,40.0,2.0,46.0,12.0,0.0,0.0,36.735,1.020,41.837,20.408,0.0,0.0,39.394,1.010,54.545,5.051,0.0,0.0,37.755,1.020,42.857,18.367,0.0,0.0,35.417,7.292,34.375,22.917,0.0,0.0,37.500,3.125,48.958,10.417,0.0,0.0,31.183,7.527,35.484,25.806,0.0,0.0,1026371584.0,0.0,0.0,0.0,0.0,0.0,27299.0,63021.0,3114438656.0,10424320.0,8640598016.0,51111071744.0
59.184,1.020,35.714,4.082,0.0,0.0,32.632,10.526,31.579,25.263,0.0,0.0,35.417,1.042,59.375,4.167,0.0,0.0,50.505,2.020,45.455,2.020,0.0,0.0,58.163,2.041,38.776,1.020,0.0,0.0,43.878,3.061,43.878,9.184,0.0,0.0,55.102,2.041,40.816,2.041,0.0,0.0,42.424,4.040,38.384,15.152,0.0,0.0,51.515,2.020,45.455,1.010,0.0,0.0,36.957,8.696,26.087,28.261,0.0,0.0,57.732,2.062,38.144,2.062,0.0,0.0,39.583,2.083,54.167,4.167,0.0,0.0,56.122,2.041,39.796,2.041,0.0,0.0,57.576,2.020,35.354,5.051,0.0,0.0,57.292,3.125,39.583,0.0,0.0,0.0,46.465,2.020,51.515,0.0,0.0,0.0,44.898,2.041,45.918,7.143,0.0,0.0,53.684,2.105,40.0,4.211,0.0,0.0,54.639,1.031,41.237,3.093,0.0,0.0,42.424,2.020,48.485,7.071,0.0,0.0,43.434,2.020,51.515,3.030,0.0,0.0,61.224,2.041,34.694,2.041,0.0,0.0,35.0,2.0,49.0,14.0,0.0,0.0,46.939,1.020,42.857,9.184,0.0,0.0,27.957,7.527,31.183,33.333,0.0,0.0,37.500,8.333,37.500,16.667,0.0,0.0,48.421,4.211,28.421,18.947,0.0,0.0,53.061,2.041,39.796,5.102,0.0,0.0,43.0,1.0,52.0,4.0,0.0,0.0,45.263,1.053,53.684,0.0,0.0,0.0,47.959,1.020,50.0,1.020,0.0,0.0,62.245,1.020,34.694,2.041,0.0,0.0,31.0,1.0,68.0,0.0,0.0,0.0,29.474,4.211,32.632,33.684,0.0,0.0,30.0,6.667,34.444,28.889,0.0,0.0,37.500,5.208,34.375,22.917,0.0,0.0,1194299392.0,0.0,0.0,0.0,0.0,0.0,30696.0,66843.0,3116773376.0,11526144.0,9817509888.0,49930723328.0
